Rank,Player,Goals,Apps,Ratio,First,Last,Club(s) (goals/apps)
1,Alan Shearer[b],260,441,0.59,1992,2006,"Blackburn Rovers (112/138), Newcastle United (148/303)"
2,Wayne Rooney,208,491,0.42,2002,2018,"Everton (25/98), Manchester United (183/393)"
3,Harry Kane,195,297,0.66,2012,2022,"Tottenham Hotspur (195/294), Norwich City (0/3)"
4,Andy Cole,187,414,0.45,1993,2006,"Newcastle United (43/58), Manchester United (93/195), Blackburn Rovers (27/83), Fulham (12/31), Manchester City (9/22), Portsmouth (3/18), Sunderland (0/7)"
5,Sergio Agüero,184,275,0.67,2011,2021,Manchester City
6,Frank Lampard,177,609,0.29,1996,2015,"West Ham United (24/148), Chelsea (147/429), Manchester City (6/32)"
7,Thierry Henry,175,258,0.68,1999,2012,Arsenal
8,Robbie Fowler,163,379,0.43,1993,2008,"Liverpool (128/266), Leeds United (14/30), Manchester City (21/80), Blackburn Rovers (0/3)"
9,Jermain Defoe,162,496,0.33,2001,2018,"West Ham United (18/74), Tottenham Hotspur (91/276), Portsmouth (15/31), Sunderland (34/87), Bournemouth (4/28)"
10,Michael Owen,150,326,0.46,1997,2013,"Liverpool (118/216), Newcastle United (26/71), Manchester United (5/31), Stoke City (1/8)"
11,Les Ferdinand[b],149,351,0.42,1992,2004,"Queens Park Rangers (60/110), Newcastle United (41/68), Tottenham Hotspur (33/118), West Ham United (2/14), Leicester City (12/29), Bolton Wanderers (1/12)"
12,Teddy Sheringham[b],146,418,0.35,1992,2006,"Nottingham Forest (1/3), Tottenham Hotspur (97/236), Manchester United (31/104), Portsmouth (9/32), West Ham United (8/43)"
13,Robin van Persie,144,280,0.51,2004,2015,"Arsenal (96/194), Manchester United (48/86)"
14,Jamie Vardy,134,285,0.47,2014,2022,Leicester City
15,Jimmy Floyd Hasselbaink,127,288,0.44,1997,2007,"Leeds United (34/69), Chelsea (69/136), Middlesbrough (22/58), Charlton Athletic (2/25)"
16,Mohamed Salah,126,207,0.61,2014,2022,"Chelsea (2/13), Liverpool (124/194)"
16,Robbie Keane,126,349,0.36,1999,2012,"Coventry City (12/31), Leeds United (13/46), Tottenham Hotspur (91/238), Liverpool (5/19), West Ham United (2/9), Aston Villa (3/6)"
18,Nicolas Anelka,125,364,0.34,1997,2014,"Arsenal (23/65), Liverpool (4/20), Manchester City (37/89), Bolton Wanderers (21/53), Chelsea (38/125), West Bromwich Albion (2/12)"
19,Dwight Yorke[b],123,375,0.33,1992,2009,"Aston Villa (60/179), Manchester United (48/96), Blackburn Rovers (12/60), Birmingham City (2/13), Sunderland (1/27)"
20,Romelu Lukaku,121,278,0.44,2011,2022,"Chelsea (8/36), West Bromwich Albion (17/35), Everton (68/141), Manchester United (28/66)"
21,Steven Gerrard,120,504,0.24,1998,2015,Liverpool
22,Ian Wright[b],113,213,0.53,1992,1999,"Arsenal (104/191), West Ham United (9/22)"
23,Raheem Sterling,112,332,0.34,2012,2022,"Liverpool (18/95), Manchester City (91/225), Chelsea (3/12)"
24,Sadio Mané,111,263,0.42,2014,2022,"Southampton (21/67), Liverpool (90/196)"
24,Dion Dublin,111,312,0.36,1992,2004,"Manchester United (2/12), Coventry City (61/145), Aston Villa (48/155)"
26,Emile Heskey,110,516,0.21,1995,2012,"Leicester City (33/124), Liverpool (39/150), Birmingham City (14/68), Wigan Athletic (15/82), Aston Villa (9/92)"
27,Ryan Giggs[b],109,632,0.17,1992,2014,Manchester United
28,Peter Crouch,108,468,0.23,2002,2019,"Aston Villa (6/37), Southampton (12/27), Liverpool (22/85), Portsmouth (11/38), Tottenham Hotspur (12/73), Stoke City (45/202), Burnley (0/6)"
29,Paul Scholes,107,499,0.21,1994,2013,Manchester United
30,Darren Bent,106,276,0.38,2001,2014,"Ipswich Town (1/5), Charlton Athletic (31/68), Tottenham Hotspur (18/60), Sunderland (32/58), Aston Villa (21/61), Fulham (3/24)"
31,Didier Drogba,104,254,0.41,2004,2015,Chelsea
32,Cristiano Ronaldo,103,236,0.44,2003,2022,Manchester United
33,Matt Le Tissier[b],100,270,0.37,1992,2002,Southampton
